"Species","Longitude","Latitude"
"Pviverrinus",89.759159,22.647443
"Pviverrinus",88.651428,23.820526
"Pviverrinus",91.565552,22.769534
"Pviverrinus",89.169245,23.438128
"Pviverrinus",89.117146,24.50152
"Pviverrinus",89.962578,22.034412
"Pviverrinus",91.091423,22.666452
"Pviverrinus",92.093333,24.466667
"Pviverrinus",88.820858,23.352815
"Pviverrinus",89.008484,24.401198
"Pviverrinus",91.943378,22.351187
"Pviverrinus",88.841972,23.617632
"Pviverrinus",89.290438,23.806785
"Pviverrinus",91.300592,24.103983
"Pviverrinus",89.04297,24.478513
"Pviverrinus",92.123065,24.838816
"Pviverrinus",90.838737,24.666518
"Pviverrinus",90.320492,23.474387
"Pviverrinus",92.254601,25.007762
"Pviverrinus",91.964493,24.567733
"Pviverrinus",89.534111,23.777019
"Pviverrinus",91.822112,22.433086
"Pviverrinus",88.558474,24.393889
"Pviverrinus",91.810856,24.540409
"Pviverrinus",89.09792,22.337056
"Prubiginosus",77.508116,8.506116
"Prubiginosus",77.428931,9.6677
"Prubiginosus",77.221527,10.37166
"Prubiginosus",76.89949,10.449747
"Prubiginosus",77.08213,11.57576
"Prubiginosus",76.430925,11.724376
"Prubiginosus",76.456861,11.989118
"Prubiginosus",77.213358,13.379916
"Prubiginosus",80.211767,13.720941
"Prubiginosus",78.943889,15.978611
"Prubiginosus",78.839092,16.371286
"Prubiginosus",73.829498,18.601998
"Prubiginosus",73.948755,19.530289
"Prubiginosus",84.120153,19.911608
"Prubiginosus",79.494324,20.159985
"Prubiginosus",79.336052,20.192613
"Prubiginosus",79.410553,20.230228
"Prubiginosus",73.534842,20.700403
"Prubiginosus",70.597715,21.150955
"Prubiginosus",70.688009,21.176889
"Prubiginosus",79.956007,21.21338
"Prubiginosus",70.565701,21.500273
"Prubiginosus",73.710623,21.766674
"Prubiginosus",73.966667,22.4
"Prubiginosus",73.933333,22.483333
"Prubiginosus",74.133333,22.533333
"Prubiginosus",73.933333,22.566667
"Prubiginosus",73.662558,24.60067
"Prubiginosus",80.01655,24.74483333
"Prubiginosus",80.224056,24.802864
"Prubiginosus",79.925108,28.663931
"Prubiginosus",80.038404,28.743129
"Prubiginosus",72.903214,19.421268
"Prubiginosus",77.155984,21.433546
"Prubiginosus",76.350985,10.240232
"Prubiginosus",80.240146,18.242631
"Prubiginosus",76.6165924,11.6394587
"Prubiginosus",77.2697854,9.6034369
"Prubiginosus",77.5560093,9.7202666
"Prubiginosus",77.45327,9.4459292
"Prubiginosus",76.78464722,11.09254167
"Prubiginosus",78.87526,15.91357
"Prubiginosus",78.85773,15.95453
"Prubiginosus",78.79047,15.88797
"Prubiginosus",78.79848,15.93761
"Prubiginosus",78.6402,16.2152
"Prubiginosus",78.72106,16.30488
"Prubiginosus",78.62607,16.19898
"Prubiginosus",78.666,16.1625
"Prubiginosus",79.1357,16.36375
"Prubiginosus",77.716507,13.262639
"Prubiginosus",79.0247093,14.6489359
"Prubiginosus",74.000572,15.938741
"Prubiginosus",77.06666667,11.86666667
"Fchaus",76.983333,8.483333
"Fchaus",76.5,9.5
"Fchaus",76.75,9.65
"Fchaus",77.07858,10.22079
"Fchaus",76.59548,10.9527
"Fchaus",76.583333,11.25
"Fchaus",76.7,12.3
"Fchaus",78.520472,13.596833
"Fchaus",78.598556,13.637639
"Fchaus",75.15,18.406
"Fchaus",73.35,18.483333
"Fchaus",75.274887,18.553661
"Fchaus",74.934311,18.631758
"Fchaus",75.260468,18.726077
"Fchaus",73.333333,19.966667
"Fchaus",73.30868,25.82588
"Fchaus",73.3118,25.88061
"Fchaus",78.769226,29.472441
"Fchaus",75.90597,17.78722
"Fchaus",75.86597,17.78722
"Fchaus",71.04595,26.83238
"Fchaus",76.39637,27.3306
"Fchaus",73.09224,27.9282
"Fchaus",72.45478,27.94966
"Fchaus",77.72647,25.45632
"Fchaus",77.22524,25.77425
"Fchaus",77.18847,25.88033
"Fchaus",85.833333,20.393056
"Fchaus",71.2,22.066667
"Fchaus",80.92085,22.13683
"Fchaus",88.0482,23.0094
"Fchaus",92.732849,23.754511
"Fchaus",91.75,26.166667
"Fchaus",78.574444,17.309167
"Fchaus",80.52478,22.26865
"Fchaus",80.53375,22.28537
"Fchaus",81.07738,23.59844
"Fchaus",81.07306,23.59606
"Fchaus",81.0028,23.61619
"Fchaus",80.97679,22.24146
"Fchaus",80.99309,22.18324
"Fchaus",80.9966,22.17018
"Fchaus",80.56467,22.24798
"Fchaus",80.56911,22.32455
"Fchaus",80.63794,22.39171
"Fchaus",80.55006,22.38494
"Fchaus",80.69232,22.21507
"Fchaus",80.63538,22.35855
"Fchaus",80.60703,22.17131
"Fchaus",80.66572,22.17908
"Fchaus",80.74564,22.12407
"Fchaus",80.74128,22.228
"Fchaus",79.83406,24.59976
"Fchaus",94.36603333,25.46647222
"Fchaus",78.68158,15.99013
"Fchaus",84.47963,27.46827
"Fchaus",87.93424444,22.73108333
"Fchaus",87.93467222,22.69901944
"Fchaus",87.9612,22.64114722
"Fchaus",88.21782222,22.68642222
"Fchaus",88.30246111,22.66143056
"Fchaus",87.92876667,22.62374722
"Fchaus",87.95558333,22.62253611
"Fchaus",88.05034,22.57634
"Fchaus",88.19806,22.5496
"Fchaus",88.00027,22.52808
"Fchaus",88.11660833,22.52125556
"Fchaus",87.8838,22.44445
"Fchaus",88.03716389,22.40735278
"Fchaus",88.11083056,22.41269722
"Fchaus",87.97767778,22.324225
"Fchaus",88.05873889,22.275
"Fchaus",76.666667,11.558333
"Fchaus",76.55,11.558333
"Fchaus",76.733333,11.608333
"Fchaus",91.397201,23.282473
"Fchaus",77.589656,13.073654
"Fchaus",83.28333333,17.96666667
"Fchaus",82.98333333,17.6
"Fchaus",82.43333333,17.65
"Fchaus",82.2,18.06666667
"Fchaus",82.01666667,18.13333333
"Fchaus",77.2,11.86666667
"Fchaus",77.06666667,11.86666667
"Fchaus",85.468573,27.728028
"Fchaus",85.298407,27.736324
"Fchaus",87.739532,27.48474
